Ia,Ib,Ic,Va,Vb,Vc
-71.13565613,79.6126285,-11.94857056,-0.27055053,-0.32610263,0.59665316
52.54803089,737.2157776,-789.7654022,0.038605838,-0.004212675,-0.034393163
107.8426721,705.1990861,-813.043289,0.039623584,-0.006851624,-0.03277196
216.9451019,632.9415857,-849.8880744,0.041186341,-0.012037941,-0.0291484
270.3226484,592.9853672,-863.30932,0.041725121,-0.014564856,-0.027160264
-501.663179,-55.26363629,28.33882818,0.21780926,-0.019809055,-0.198000205
-562.5856125,-60.91784627,14.35820396,0.201832401,0.046764805,-0.248597207
-39.75204995,100.2365473,-63.92504842,-0.595994928,0.163983271,0.432011657
-40.62257592,100.2471406,-63.06640334,-0.593230444,0.154712129,0.438518315
-42.34005656,100.2213737,-61.32558154,-0.587274048,0.136073741,0.451200306
-45.67493714,99.98211064,-57.75591231,-0.573672829,0.098477068,0.475195761
-562.5856125,-60.91784627,14.35820396,0.201832401,0.046764805,-0.248597207
-39.75204995,100.2365473,-63.92504842,-0.595994928,0.163983271,0.432011657
-40.62257592,100.2471406,-63.06640334,-0.593230444,0.1547
-64.32144631,91.49631718,-30.64223086,-0.420774792,-0.164793165,0.585567956
-71.13565613,79.6126285,-11.94857056,-0.27055053,-0.32610263,0.59665316
52.54803089,737.2157776,-789.7654022,0.038605838,-0.004212675,-0.034393163
107.8426721,705.1990861,-813.043289,0.039623584,-0.006851624,-0.03277196
216.9451019,632.9415857,-849.8880744,0.041186341,-0.012037941,-0.0291484
270.3226484,592.9853672,-863.30932,0.041725121,-0.014564856,-0.027160264
875.0147917,-556.5257107,-318.4841287,0.013832301,-0.041651414,0.027819113
876.9815044,-545.5745612,-331.4021512,0.014447686,-0.041769627,0.027321941
878.7373958,-534.4939864,-344.2387734,0.015064832,-0.041879052,0.02681422
880.2827812,-523.2871688,-356.9911288,0.015685572,-0.041980078,0.026294506
881.6157647,-511.9556967,-369.6557336,0.016306362,-0.042071727,0.025765366
882.7327905,-500.4999901,-382.2286124,0.016923836,-0.042153117,0.025229281
411.4089461,472.6955505,-882.057042,0.042334857,-0.021181543,-0.021153314
399.0698483,484.3680341,-881.3906246,0.04233024,-0.02060308,-0.021727159
386.632463,495.9211356,-880.5065375,0.042315172,-0.020019528,-0.022295645
374.0998588,507.3520043,-879.4049987,0.04228966,-0.019431028,-0.022858632
361.4751278,518.65782,-878.0862801,0.042253708,-0.018837727,-0.023415982
348.7613852,529.8357929,-876.5507071,0.042207326,-0.01823977,-0.023967556










